district,mandal,village,lat,long,date,value
BHADRADRI,Sujathanagar,Sarvaram (Gudithanda),80.59,17.53,01/11/22,4.56
BHADRADRI,Sujathanagar,Sujathanagar,80.589,17.488,01/11/22,3.77
BHADRADRI,Tekulapalle,Bethampudi,80.45,17.56,01/11/22,5.72
BHADRADRI,Tekulapalle,Bodu,80.4436,17.6744,01/11/22,3.47
BHADRADRI,Tekulapalle,Mutyalampadu,80.5,17.54,01/11/22,3.18
BHADRADRI,Tekulapalle,Sulanagar,80.501917,17.543558,01/11/22,1.12
BHADRADRI,Yellandu,Komararam,80.32,17.71,01/11/22,1.73
BHADRADRI,Yellandu,Narayanapuram D,80.375,17.5125,01/11/22,4.62
BHADRADRI,Yellandu,NARAYANAPURAM S,80.38,17.51,01/11/22,4.6
BHADRADRI,Yellandu,Rompedu,80.3,17.65,01/11/22,3.61
BHADRADRI,Yellandu,Sudimalla,80.35,17.59,01/11/22,2.83
BHUPALPALLY,Bhupalpalle,Bhupalpally,79.876922,18.441128,01/11/22,3.81
BHUPALPALLY,Bhupalpalle,Gudadpally,79.8072,18.389256,01/11/22,3.38
BHUPALPALLY,Bhupalpalle,Nandigama,80.0572,18.4996,01/11/22,1.63
BHUPALPALLY,Chityal,Chityala,79.671932,18.337481,01/11/22,3.92
BHUPALPALLY,Chityal,Jadalpet,79.736111,18.383433,01/11/22,2.81
BHUPALPALLY,Ghanapur_Mulug,Chelpur(D),79.853503,18.368545,01/11/22,3.43
BHUPALPALLY,Ghanapur_Mulug,Chelpur(S),79.835062,18.375514,01/11/22,4.12
BHUPALPALLY,Ghanapur_Mulug,Velthurlapally,79.8885,18.3025,01/11/22,1.24
BHUPALPALLY,Kataram,Jadaraopet,79.883779,18.69579,01/11/22,11.23
BHUPALPALLY,Kataram,Medipally,79.923666,18.550111,01/11/22,15.26
BHUPALPALLY,Kataram,Regulagudem,79.868777,18.623722,01/11/22,31.28
BHUPALPALLY,Kataram,Shankarampally 125(D),79.8983,18.6022,01/11/22,13.28
BHUPALPALLY,Kataram,Shankarampally 47,79.89,18.61,01/11/22,19.96
BHUPALPALLY,Mutharam_Mahadevpur,Stambampally,79.9927,18.5639,01/11/22,1.43
BHUPALPALLY,Mutharam_Mahadevpur,Yatnaram,80.152333,18.573833,01/11/22,3.18
BHUPALPALLY,Mahadevpur,Ambatipalli,80.061858,18.695678,01/11/22,17.26
BHUPALPALLY,Mahadevpur,Annaram,79.843138,18.762444,01/11/22,14.19
BHUPALPALLY,Mahadevpur,Kaleswaram,79.905444,18.803055,01/11/22,5.42
BHUPALPALLY,Mahadevpur,Mahadevpur -125D,79.98,18.73,01/11/22,8.12
BHUPALPALLY,Mahadevpur,Mahadevpur 199D,79.98,18.73,01/11/22,8.39
BHUPALPALLY,Mahadevpur,Mahadevpur 75NC,79.9819,18.7206,01/11/22,7.48
BHUPALPALLY,Malharrao,Mallaram,79.785777,18.556805,01/11/22,3.29
BHUPALPALLY,Mogullapalle,Aknepally,79.6103,18.3631,01/11/22,4.28
BHUPALPALLY,Mogullapalle,Rangapur,79.6891,18.2716,01/11/22,4.13
BHUPALPALLY,Palmela,Kamanpally,80.245666,18.625166,01/11/22,1.96
BHUPALPALLY,Palmela,Lenkalagadda,80.129555,18.674833,01/11/22,7.38
BHUPALPALLY,Palmela,Sarvaipet,80.238166,18.683222,01/11/22,10.28
BHUPALPALLY,Regonda,Gorikothapally,79.8145,18.1796,01/11/22,3.28
BHUPALPALLY,Regonda,Regonda,79.7775,18.24,01/11/22,2.83
BHUPALPALLY,Tekumatla,Ramakrishnapuram,79.625,18.418,01/11/22,3.41
HYDERABAD,Ammerpet,"DIRECTOR WOMEN AND CHILD WELFARE, YOUSUFGUDA",78.45018,17.445016,01/11/22,
HYDERABAD,Ammerpet,S.R.Nagar,78.443916,17.442333,01/11/22,19.02
HYDERABAD,Ammerpet,"STDC Chest Hospital, Erragadda",78.433853,17.452381,01/11/22,11.71
HYDERABAD,Asifnagar,"Govt. Polytechnic, Masab Tank.",78.449566,17.382154,01/11/22,3.48
HYDERABAD,Asifnagar,Himayanagar,78.44525,17.397638,01/11/22,1.96
HYDERABAD,Asifnagar,Kulsanapur,78.437,17.374,01/11/22,2.68
HYDERABAD,Bandlaguda,Chandraingutta,78.484,17.333,01/11/22,10.77
HYDERABAD,Bandlaguda,Bahadurpura,78.458,17.351,01/11/22,1.61
HYDERABAD,Charminar,Darul Shifa,78.485,17.381,01/11/22,3.71
HYDERABAD,Himayatnagar,"Fever Hospital, Nallakunta",78.484698,17.409199,01/11/22,4.72
HYDERABAD,Himayatnagar,Indira Park,78.496983,17.398141,01/11/22,2.4
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.450174,17.428044,01/11/22,4.75
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.44964,17.427717,01/11/22,4.9
HYDERABAD,Khairatabad,Khairathabad,78.461,17.411,01/11/22,
HYDERABAD,Khairatabad,T.S..Secretariat,78.47,17.409,01/11/22,
HYDERABAD,Maredpally,"Govt.Jr.College,West Maredpally",78.505605,17.42697,01/11/22,3.41
HYDERABAD,Maredpally,Maredpally(s),78.509,17.441,01/11/22,5.94
HYDERABAD,Musheerabad,Musheerabad,78.512,17.422,01/11/22,4.91
HYDERABAD,Nampally,Nampally,78.474,17.385,01/11/22,2.54
HYDERABAD,Saidabad,Juvinile home,78.508,17.361,01/11/22,2.64
HYDERABAD,Secunderabad,"Sanjeevaiah Park, Hussian Sagar.",78.483009,17.435418,01/11/22,1.72
HYDERABAD,Shaikpet,Shaikpet,78.45,17.42,01/11/22,
HYDERABAD,Shaikpet,"Vengal Rao Park, Srinagar colony",78.415346,17.412964,01/11/22,2.34
HYDERABAD,Tirumalgiri,"NIMH,Hasmathpet",78.493825,17.463314,01/11/22,4.38
JAGITYAL,Beerpur,Kandlapalle,78.961055,19.027722,01/11/22,2.03
JAGITYAL,Dharmapuri,Dharmapuri,79.101944,18.946944,01/11/22,3.46
JAGITYAL,Dharmapuri,Jaina,79.0761,19.0106,01/11/22,5.29
JAGITYAL,Gollapalle,Gollapalli,79.0522,18.7906,01/11/22,3.81
JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,78.579444,18.898611,01/11/22,3.36
JAGITYAL,Jagtial,Jagityal,78.8461,18.8252,01/11/22,5.19
JAGITYAL,Jagityal_Rural,Morapally,78.893939,18.790181,01/11/22,2.62
JAGITYAL,Kathlapur,Kathalapur,78.689722,18.752777,01/11/22,1.2
JAGITYAL,Kodimial,Chepial,78.935833,18.624722,01/11/22,3.29
JAGITYAL,Koratla,Ilapur,78.7039,18.8561,01/11/22,5.01
JAGITYAL,Koratla,Korutla,78.706388,18.818611,01/11/22,7.21
JAGITYAL,Mallapur,Mallapur,78.7064,18.9647,01/11/22,4.2
JAGITYAL,Mallapur,VV Raopet,78.770044,18.993948,01/11/22,3.98
JAGITYAL,Malial,Nukapalli,78.9222,18.7094,01/11/22,2.6
JAGITYAL,Medipalle,Desaipet,,,01/11/22,1.41
JAGITYAL,Medipalle,Katlakunta,78.813333,18.843888,01/11/22,1.37
JAGITYAL,Medipalle,Rangapur,78.792333,18.758416,01/11/22,1.81
JAGITYAL,Metpalle,Metpalli,78.620555,18.847777,01/11/22,
JAGITYAL,Metpalle,Atmakur,78.620111,18.752194,01/11/22,6.11
JAGITYAL,Metpalle,Bandalingapur,78.5853,18.8309,01/11/22,3.29
JAGITYAL,Metpalle,Metla Chittapur,78.588005,18.781131,01/11/22,2.3
JAGITYAL,Pegadapalle,Pegadapalli,79.064444,18.706388,01/11/22,3.2
JAGITYAL,Raikal,Bornapally,78.8235,19.0265,01/11/22,2.67
JAGITYAL,Raikal,Itikyal,78.760618,18.9192,01/11/22,1.3
JAGITYAL,Raikal,Raikal,78.802852,18.910338,01/11/22,2.27
JAGITYAL,Raikal,Vodde lingapur,78.837222,18.959166,01/11/22,0.88
JAGITYAL,Sarangapur,Rachapalli,78.931444,18.931444,01/11/22,3.01
JAGITYAL,Sarangapur,Sarangapur,78.958055,18.929722,01/11/22,3.75
JAGITYAL,Velgatoor,Chegyam,79.2736,18.8145,01/11/22,2.12
JAGITYAL,Velgatoor,Stambampally,79.161,18.861,01/11/22,1.46
JAGITYAL,Velgatoor,Velgatur,79.1697,18.8353,01/11/22,3.51
JANGAON,Bachannapeta,Bachannapet,79.0422,17.7908,01/11/22,3.09
JANGAON,Bachannapeta,Padamati Keshapur,78.9394,17.8383,01/11/22,4.79
JANGAON,Chilpur,Kistajigudem,79.2958,17.8772,01/11/22,4.9
JANGAON,Chilpur,Malkapur,79.3069,17.9341,01/11/22,2.35
JANGAON,Devaruppala,Devaruppula,79.3562,17.5374,01/11/22,0.5
JANGAON,Devaruppala,Singarajupalli,79.2738,17.5919,01/11/22,2.49
JANGAON,Ganpur_stn,Chagal,79.3604,17.8387,01/11/22,7.65
JANGAON,Ganpur_stn,Namiligonda,79.4042,17.8333,01/11/22,1.25
JANGAON,Jangaon,Jangaon,79.1474,17.6973,01/11/22,2.2
JANGAON,Jangaon,Siddanki,79.0981,17.7676,01/11/22,5.63
JANGAON,Kodakandla,Kodakandla,79.5144,17.5258,01/11/22,3.93
JANGAON,Lingalaghanpur,Jeedikal,79.1613,17.6084,01/11/22,2.48
JANGAON,Lingalaghanpur,Lingala ghanpur,79.1997,17.6591,01/11/22,2.65
JANGAON,Lingalaghanpur,Vadicherla,79.2365,17.6606,01/11/22,0.47
JANGAON,Narmetta,Machupahad,79.222159,17.87118,01/11/22,3.81
JANGAON,Narmetta,Veldanda,79.124717,17.858198,01/11/22,3.08
JANGAON,Palakurthi,Gudur,79.409394,17.736265,01/11/22,1.2
JANGAON,Palakurthi,Palakurthi,79.4225,17.6691,01/11/22,2.81
JANGAON,Raghunathpalle,Ibrahimpur,79.2289,17.7592,01/11/22,5.26
JANGAON,Raghunathpalle,Nidigonda,79.231,17.731,01/11/22,2.6
JANGAON,Raghunathpalle,Raghunadhapalli,79.2636,17.7647,01/11/22,4.1
JANGAON,Tharigoppula,Tarigopulla,79.1802,17.9427,01/11/22,3.85
JANGAON,Zaffergadh,Kunur,79.4766,17.847,01/11/22,8.45
JANGAON,Zaffergadh,Zafergad,79.487,17.7651,01/11/22,4.25
JOGULAMBA(GADWAL),Alampur,Alampur,78.121104,15.896441,01/11/22,2.3
JOGULAMBA(GADWAL),Dharur,Dharoor,77.678908,16.224385,01/11/22,3.39
JOGULAMBA(GADWAL),Dharur,Neelahally,77.641794,16.265211,01/11/22,3.36
JOGULAMBA(GADWAL),Gadwal,Gadwal,77.8021,16.2326,01/11/22,1.51
JOGULAMBA(GADWAL),Ghattu,Allor,77.628079,16.177873,01/11/22,3.1
JOGULAMBA(GADWAL),Ghattu,Gattu,77.5757,16.1287,01/11/22,1.9
JOGULAMBA(GADWAL),Ghattu,Induvasi,77.52,16.04,01/11/22,1.5
JOGULAMBA(GADWAL),Aiza,Eklaspur,77.6515,16.0482,01/11/22,1.68
JOGULAMBA(GADWAL),Aiza,Ieeza,77.671609,16.01518,01/11/22,9.22
JOGULAMBA(GADWAL),Itikyal,Kodandapur,77.565,16.249,01/11/22,11.26
JOGULAMBA(GADWAL),Kaloor_Timmanadoddi,Kondapur,77.8315,16.0701,01/11/22,3.74
JOGULAMBA(GADWAL),Kaloor_Timmanadoddi,Kuchinerla,77.526,16.179,01/11/22,1.21
JOGULAMBA(GADWAL),Maldakal,Maldakal,77.687599,16.129667,01/11/22,1.1
JOGULAMBA(GADWAL),Manopad,Manopad,77.9533,15.9656,01/11/22,1.58
JOGULAMBA(GADWAL),Undavelli,Pullur,78.01,15.92,01/11/22,17.6
JOGULAMBA(GADWAL),Undavelli,Undavally,78.04,15.93,01/11/22,1.7
JOGULAMBA(GADWAL),Waddepalle,Santhinagar,77.839,15.94,01/11/22,0.4
KAMAREDDY,Banswada,Bansawada,77.879,18.393,01/11/22,4.84
KAMAREDDY,Banswada,Budimi,77.89,18.34,01/11/22,1.96
KAMAREDDY,Bhiknur,Bhiknoor,78.399,18.196,01/11/22,2.06
KAMAREDDY,Bhiknur,Issannapally,78.4767,18.1429,01/11/22,1.69
KAMAREDDY,Bhiknur,P.D.Mallareddy,78.453,18.173,01/11/22,12.87
KAMAREDDY,Bibipet,Bibipet,78.523,18.205,01/11/22,8.3
KAMAREDDY,Bichkunda,Pulkal,77.767,18.399,01/11/22,2.11
KAMAREDDY,Birkoor,Birkur,77.803,18.47,01/11/22,6.05
KAMAREDDY,Domakonda,Domakonda,78.436,18.25,01/11/22,8.66
KAMAREDDY,Gandhari,Gandhari,78.107,18.396,01/11/22,11.59
KAMAREDDY,Gandhari,Ramlaxmanpally,78.13,18.32,01/11/22,6.89
KAMAREDDY,Gandhari,Sarvapoor,77.9851,18.3647,01/11/22,6.54
KAMAREDDY,Jukkal,Jukkal,77.604,18.364,01/11/22,2.18
KAMAREDDY,Jukkal,Savargao,77.649524,18.321675,01/11/22,2.91
KAMAREDDY,Kamareddy,Adloor,78.3435,18.3438,01/11/22,8.33
KAMAREDDY,Kamareddy,Narasannapally,78.3617,18.2686,01/11/22,5.84
KAMAREDDY,Lingampet,Bhavanipet,78.058,18.2791,01/11/22,5.22
KAMAREDDY,Lingampet,Khannapur,78.16,18.19,01/11/22,7.65
KAMAREDDY,Lingampet,Mothe,78.17,18.31,01/11/22,4.27
KAMAREDDY,Machareddy,Machareddy,78.493,18.329,01/11/22,3.13
KAMAREDDY,Madnur,Menoor,77.652,18.483,01/11/22,3.18
KAMAREDDY,Madnur,SOMUR,77.603085,18.419887,01/11/22,1.35
KAMAREDDY,Naga_Reddipet,Banjara Thanda,78.0818,18.1449,01/11/22,5.8
KAMAREDDY,Naga_Reddipet,Malthummeda,78.142,18.114,01/11/22,6.77
KAMAREDDY,Naga_Reddipet,Nasurullabad,77.873,18.468,01/11/22,1.9
KAMAREDDY,Nizamsagar,Achampet,77.93,18.21,01/11/22,5.56
KAMAREDDY,Nizamsagar,Mohammadnagar,77.908661,18.293098,01/11/22,2
KAMAREDDY,Pedda Kodapgal,Shanthapur,77.73,18.33,01/11/22,3.14
KAMAREDDY,Pedda Kodapgal,Maddela Cheruvu,77.85,18.35,01/11/22,7.96
KAMAREDDY,Rajampet,Argonda,78.272,18.234,01/11/22,2.93
KAMAREDDY,Rajampet,Kondapur,78.289,18.184,01/11/22,6.16
KAMAREDDY,Ramareddy,Reddypet,78.417,18.409,01/11/22,7.26
KAMAREDDY,Sadasivanagar,Sadasivanagar,78.264,18.406,01/11/22,4.44
KAMAREDDY,Tadwai,Yerrapahad,78.223,18.293,01/11/22,1.58
KAMAREDDY,Tadwai,Annaram,78.241562,18.35434,01/11/22,4.45
KAMAREDDY,Yellareddy,Yellareddy,78.02,18.194,01/11/22,7.32
KAMAREDDY,Banswada,HANMAJIPET ,78.001667,18.433056,01/11/22,4.09
KAMAREDDY,Bhiknur,KACHAPOOR ,78.452778,18.192778,01/11/22,8.23
KAMAREDDY,Bhiknur,MALLUPALLY ,78.445,18.155,01/11/22,15.22
KAMAREDDY,Bichkunda,DOULTHAPUR ,77.700556,18.384444,01/11/22,3.8
KAMAREDDY,Bichkunda,GUNDE NEMLI ,77.807778,18.362778,01/11/22,6.75
KAMAREDDY,Bichkunda,PD DADGI ,77.742222,18.368056,01/11/22,13.83
KAMAREDDY,Domakonda,AMBERPET ,78.488056,18.262778,01/11/22,2.81
KAMAREDDY,Domakonda,ANCHANOOR ,78.459444,18.244722,01/11/22,9.56
KAMAREDDY,Gandhari,CHADMAL ,78.077222,18.459167,01/11/22,17.21
KAMAREDDY,Gandhari,GURJAL ,78.140556,18.3575,01/11/22,11.56
KAMAREDDY,Lingampet,LINGAMPET ,78.127778,18.2375,01/11/22,0.05
KAMAREDDY,Lingampet,PARMALLA,78.127778,18.201944,01/11/22,2.96
KAMAREDDY,Machareddy,RAJKHANPET ,78.519722,18.356389,01/11/22,5.07
KAMAREDDY,Madnur,MADNOOR ,77.628889,18.500278,01/11/22,3.19
KAMAREDDY,Madnur,RUSEGAON,77.683333,18.435,01/11/22,1.41
KAMAREDDY,Naga_Reddipet,WADALPARTHY ,78.154722,18.136667,01/11/22,10.6
KAMAREDDY,Naga_Reddipet,BOMMADEVPALLY ,77.901111,18.471389,01/11/22,1.43
KAMAREDDY,Naga_Reddipet,BOPPASPALLY ,77.8425,18.485278,01/11/22,3.93
KAMAREDDY,Naga_Reddipet,MIRZAPUR ,77.843889,18.447778,01/11/22,3.8
KAMAREDDY,Nizamsagar,BURGUL ,77.940556,18.258056,01/11/22,2.96
KAMAREDDY,Nizamsagar,NARVA ,77.9725,18.258333,01/11/22,0.64
KAMAREDDY,Nizamsagar,VELGANOOR ,77.868056,18.195278,01/11/22,7.76
KAMAREDDY,Pedda Kodapgal,CHILLARGI ,77.832222,18.2875,01/11/22,4.77
KAMAREDDY,Pedda Kodapgal,GODMAGAON ,77.757778,18.231667,01/11/22,6.52
KAMAREDDY,Pedda Kodapgal,KURTHI / RAMPUR,77.879167,18.298056,01/11/22,2
KAMAREDDY,Pedda Kodapgal,NAGAMPALLY ,77.847222,18.246944,01/11/22,6
KAMAREDDY,Pedda Kodapgal,PITLAM ,77.842222,18.227222,01/11/22,7.81
KAMAREDDY,Rajampet,SIDDAPOOR ,78.243333,18.165,01/11/22,8.32
KAMAREDDY,Ramareddy,DEVANPALLE ,78.443056,18.331667,01/11/22,9.88
KAMAREDDY,Sadasivanagar,PADMAJI WADA ,78.237778,18.429167,01/11/22,8.23
KAMAREDDY,Sadasivanagar,UTNOOR ,78.191111,18.438333,01/11/22,5.62
KAMAREDDY,Tadwai,KANKAL,78.217778,18.341667,01/11/22,24.83
KAMAREDDY,Yellareddy,THIMMAREDDY ,77.995833,18.2375,01/11/22,8.93
KAMAREDDY,Yellareddy,YELLAREDDY ,78.011389,18.201111,01/11/22,7.32
KARIMNAGAR,Chigurumamidi,Bommanapalli,79.2301,18.2126,01/11/22,
KARIMNAGAR,Chigurumamidi,Chigurumamidi,79.154589,18.263438,01/11/22,2.35
KARIMNAGAR,Chigurumamidi,Ramancha,79.201111,18.23625,01/11/22,5.22
KARIMNAGAR,Choppadandi,Rukmapur,79.1461,18.5334,01/11/22,6.6
KARIMNAGAR,Ellandakunta,Illanthukunta ,79.5058,18.2992,01/11/22,2.66
KARIMNAGAR,Gangadhara,Burugupally,79.0333,18.6386,01/11/22,6.73
KARIMNAGAR,Gangadhara,Gangadhara,79.008888,18.579444,01/11/22,18.35
KARIMNAGAR,Gannervaram,Mylaram,79.078,18.368,01/11/22,4.9
KARIMNAGAR,Huzurabad,Huzurabad,79.407573,18.189488,01/11/22,1.86
KARIMNAGAR,Jammikunta,Vavilala,79.5529,18.3963,01/11/22,3.06
KARIMNAGAR,Karimnagar (Rural-I),Nagnur,79.144638,18.500305,01/11/22,1.83
KARIMNAGAR,Karimnagar,Karimnagar,79.128333,18.436111,01/11/22,4.78
KARIMNAGAR,Shankarapatnam,Thadikal,79.2894,18.3089,01/11/22,4
KARIMNAGAR,Manakondur,Laxmipur,79.285194,18.446611,01/11/22,1.93
KARIMNAGAR,Ramadugu,Gundi,79.08725,18.618833,01/11/22,3.05
KARIMNAGAR,V_Saidapur,Saidapur,79.305174,18.2148,01/11/22,3.27
KARIMNAGAR,Thimmapur,Alugunur,79.151234,18.400873,01/11/22,2.9
KARIMNAGAR,Thimmapur,Nedunur,79.1383,18.3117,01/11/22,7.63
KARIMNAGAR,Veenavanka,Veenavanka,79.420555,18.346111,01/11/22,2.8
KHAMMAM,Bonakal,Mustikunta,80.223141,17.040809,01/11/22,1.2
KHAMMAM,Bonakal,Pedabeeravalli,80.3,17.05,01/11/22,1.03
KHAMMAM,Chinthakani,Pandillapalli,80.18,17.15,01/11/22,1.55
KHAMMAM,Enkuru,Enkoor,80.44,17.33,01/11/22,2.93
KHAMMAM,Enkuru,Timmaraopeta,80.37,17.37,01/11/22,1.6
KHAMMAM,Kalluru,Kallur,80.5467,17.21,01/11/22,1.54
KHAMMAM,Kamepalle,Kothalingala,80.237801,17.429453,01/11/22,3.33
KHAMMAM,Kamepalle,Ootkuru,80.3,17.46,01/11/22,3.86
KHAMMAM,Khammam_Rural,Theerthala,80.143482,17.370784,01/11/22,0.98
KHAMMAM,Khammam_Rural,M.V.Palem,80.0969,17.2967,01/11/22,3.09
KHAMMAM,Khammam_Urban,Khammam I,80.1333,17.2333,01/11/22,0.6
KHAMMAM,Khammam_Urban,Khammam-II,80.1436,17.2525,01/11/22,0.95
KHAMMAM,Konijerla,Gubbagurthi,80.36,17.28,01/11/22,1.96
KHAMMAM,Konijerla,Konijerla,80.2908,17.2211,01/11/22,1.25
KHAMMAM,Kusumanchi,Jakkapally,79.97,17.14,01/11/22,1.76
KHAMMAM,Kusumanchi,Kusumanchi,79.9583,17.2208,01/11/22,5.93
KHAMMAM,Madhira,Madhira,80.36748,16.92114,01/11/22,4.94
KHAMMAM,Madhira,Nidhanapuram,80.42,16.92,01/11/22,3.9
KHAMMAM,Mudigonda,Banapuram,80.12,17.06,01/11/22,0.37
KHAMMAM,Mudigonda,Mudigonda,80.0986,17.1875,01/11/22,1.51
KHAMMAM,Nelakondapalle,Bodulabanda,80.02,17.09,01/11/22,2.05
KHAMMAM,Nelakondapalle,Buddaram,80.06,17.02,01/11/22,2.74
KHAMMAM,Penuballi,Lankapalli,80.74,17.2,01/11/22,8.22
KHAMMAM,Penuballi,Lingagudem,80.656018,17.26324,01/11/22,
KHAMMAM,Penuballi,Penuballi,80.67,17.21,01/11/22,1.72
KHAMMAM,Penuballi,Tallapenta,80.616401,17.233938,01/11/22,1.64
KHAMMAM,Raghunadhapalem,Erlapudi,80.27,17.32,01/11/22,3.03
KHAMMAM,Sathupalle,Cherukupalli,80.78,17.26,01/11/22,3.23
KHAMMAM,Sathupalle,Prakashnagar,80.8942,17.1942,01/11/22,35.79
KHAMMAM,Singareni,Madharam,80.23,17.54,01/11/22,1.17
KHAMMAM,Thallada,Anjanapuram,80.4625,17.2147,01/11/22,1.49
KHAMMAM,Thallada,Laxmipuram,80.484741,17.172303,01/11/22,2.13
KHAMMAM,Thirumalayapalem,Kakaravai,79.84,17.31,01/11/22,1.02
KHAMMAM,Thirumalayapalem,Tippareddigudem,79.98,17.37,01/11/22,1.59
