district,mandal,village,lat,long,date,value
BHADRADRI,Sujathanagar,Sarvaram (Gudithanda),80.59,17.53,01/08/22,4.37
BHADRADRI,Sujathanagar,Sujathanagar,80.589,17.488,01/08/22,0.75
BHADRADRI,Tekulapalle,Bethampudi,80.45,17.56,01/08/22,5.56
BHADRADRI,Tekulapalle,Bodu,80.4436,17.6744,01/08/22,3.01
BHADRADRI,Tekulapalle,Mutyalampadu,80.5,17.54,01/08/22,3.87
BHADRADRI,Tekulapalle,Sulanagar,80.501917,17.543558,01/08/22,0.62
BHADRADRI,Yellandu,Komararam,80.32,17.71,01/08/22,0.96
BHADRADRI,Yellandu,Narayanapuram D,80.375,17.5125,01/08/22,2.53
BHADRADRI,Yellandu,NARAYANAPURAM S,80.38,17.51,01/08/22,2.53
BHADRADRI,Yellandu,Rompedu,80.3,17.65,01/08/22,1.95
BHADRADRI,Yellandu,Sudimalla,80.35,17.59,01/08/22,1.13
BHUPALPALLY,Bhupalpalle,Bhupalpally,79.876922,18.441128,01/08/22,3.18
BHUPALPALLY,Bhupalpalle,Gudadpally,79.8072,18.389256,01/08/22,5.32
BHUPALPALLY,Bhupalpalle,Nandigama,80.0572,18.4996,01/08/22,1.21
BHUPALPALLY,Chityal,Chityala,79.671932,18.337481,01/08/22,1.53
BHUPALPALLY,Chityal,Jadalpet,79.736111,18.383433,01/08/22,3.06
BHUPALPALLY,Ghanapur_Mulug,Chelpur(D),79.853503,18.368545,01/08/22,4.93
BHUPALPALLY,Ghanapur_Mulug,Chelpur(S),79.835062,18.375514,01/08/22,5.42
BHUPALPALLY,Ghanapur_Mulug,Velthurlapally,79.8885,18.3025,01/08/22,1.39
BHUPALPALLY,Kataram,Jadaraopet,79.883779,18.69579,01/08/22,12.39
BHUPALPALLY,Kataram,Medipally,79.923666,18.550111,01/08/22,15.21
BHUPALPALLY,Kataram,Regulagudem,79.868777,18.623722,01/08/22,31.82
BHUPALPALLY,Kataram,Shankarampally 125(D),79.8983,18.6022,01/08/22,13.29
BHUPALPALLY,Kataram,Shankarampally 47,79.89,18.61,01/08/22,13.96
BHUPALPALLY,Mutharam_Mahadevpur,Stambampally,79.9927,18.5639,01/08/22,1.21
BHUPALPALLY,Mutharam_Mahadevpur,Yatnaram,80.152333,18.573833,01/08/22,2.96
BHUPALPALLY,Mahadevpur,Ambatipalli,80.061858,18.695678,01/08/22,17.29
BHUPALPALLY,Mahadevpur,Annaram,79.843138,18.762444,01/08/22,16.83
BHUPALPALLY,Mahadevpur,Kaleswaram,79.905444,18.803055,01/08/22,6.31
BHUPALPALLY,Mahadevpur,Mahadevpur -125D,79.98,18.73,01/08/22,8.29
BHUPALPALLY,Mahadevpur,Mahadevpur 199D,79.98,18.73,01/08/22,7.84
BHUPALPALLY,Mahadevpur,Mahadevpur 75NC,79.9819,18.7206,01/08/22,7.13
BHUPALPALLY,Malharrao,Mallaram,79.785777,18.556805,01/08/22,3.13
BHUPALPALLY,Mogullapalle,Aknepally,79.6103,18.3631,01/08/22,2.19
BHUPALPALLY,Mogullapalle,Rangapur,79.6891,18.2716,01/08/22,4.27
BHUPALPALLY,Palmela,Kamanpally,80.245666,18.625166,01/08/22,1.34
