district,mandal,village,lat,long,date,value
ADILABAD,Adilabad Urban,Adilabad,78.5247,19.6683,01/03/22,9
ADILABAD,Bazarhathnoor,Bazarhatnur,78.350833,19.458888,01/03/22,4.97
ADILABAD,Bela,Chandpally,78.848456,19.684431,01/03/22,7.8
ADILABAD,Bheempoor,Arli,78.37931,19.83196,01/03/22,8.6
ADILABAD,Bheempoor,Bheempur,78.417841,19.772188,01/03/22,6.61
ADILABAD,Boath,Boath,78.316527,19.342416,01/03/22,8.6
ADILABAD,Gudihathnur,Gudihatnoor,78.512222,19.525555,01/03/22,16
ADILABAD,Jainad,Bhoraj,78.546472,19.739722,01/03/22,14.1
ADILABAD,Jainad,Jainath,78.64,19.730555,01/03/22,3.55
ADILABAD,Narnoor,Narnoor,78.852654,19.495665,01/03/22,3.66
ADILABAD,Neradigonda,Neradigonda,78.41216,19.29375,01/03/22,9.9
ADILABAD,Talamadugu,Devapur,78.463111,19.612944,01/03/22,7.72
ADILABAD,Talamadugu,Talamadugu,78.3969,19.6334,01/03/22,4.77
ADILABAD,Tamsi,Tamsi,78.4268,19.6811,01/03/22,4.65
ADILABAD,Utnur,Utnoor,78.7685,19.3789,01/03/22,5.2
BHADRADRI,Allapalli,Allapalli,80.475008,17.82975,01/03/22,7.88
BHADRADRI,Allapalli,Markodu,80.51,17.91,01/03/22,6.57
BHADRADRI,Annapureddipalle,Annapureddypalli,80.826104,17.354519,01/03/22,15.56
BHADRADRI,Aswapuram,Ammagaripalli,80.85,17.87,01/03/22,2.54
BHADRADRI,Aswapuram,Aswapuram,80.809241,17.841678,01/03/22,10.09
BHADRADRI,Aswapuram,Aswapuram,80.807296,17.866547,01/03/22,9.2
BHADRADRI,Aswaraopeta,ASWARAOPET (D),81.11,17.24,01/03/22,31.42
BHADRADRI,Aswaraopeta,Aswaraopet (S),81.1106,17.2442,01/03/22,31.78
BHADRADRI,Aswaraopeta,Duradapadu,81.09,17.43,01/03/22,8.26
BHADRADRI,Aswaraopeta,Gummadivalli,81.18,17.42,01/03/22,4.17
BHADRADRI,Aswaraopeta,NANDIPADU,81.13,17.46,01/03/22,3.93
BHADRADRI,Aswaraopeta,Vinayakapuram,81.12,17.35,01/03/22,11.13
BHADRADRI,Bhadrachalam,Bhadrachalam,80.900922,17.666775,01/03/22,8.38
BHADRADRI,Burgampadu,Krishnasagar,80.81,17.71,01/03/22,9.02
BHADRADRI,Burgampadu,M.Banjara,80.7911,17.6447,01/03/22,9.95
BHADRADRI,Cherla,Cherla,80.83124,18.07449,01/03/22,5.38
BHADRADRI,Chandrugonda,Maddukuru,80.68,17.36,01/03/22,21.38
BHADRADRI,Chandrugonda,Ravikampadu,80.6106,17.3986,01/03/22,8.65
BHADRADRI,Cherla,Chinmedisileru,80.85,18.06,01/03/22,8.14
BHADRADRI,Cherla,Chunchupalli,80.608,17.529,01/03/22,5.31
BHADRADRI,Dammapeta,Malkaram,81.067815,17.308863,01/03/22,12.32
BHADRADRI,Dammapeta,Mandalapalli,81.01,17.24,01/03/22,41.13
BHADRADRI,Dammapeta,Patwarigudem,80.96,17.35,01/03/22,12.66
BHADRADRI,Dummugudem,Bandirevu,80.92,17.92,01/03/22,4.58
BHADRADRI,Dummugudem,Dummugudem,80.8937,17.8523,01/03/22,3.54
BHADRADRI,Gundala,Gundala,80.33,17.91,01/03/22,4.8
BHADRADRI,Gundala,Kanchanapalli,80.42,17.79,01/03/22,3.2
BHADRADRI,Gundala,Mamakannu,80.412727,17.865819,01/03/22,7
BHADRADRI,Gundala,Sainapalli,80.35,17.96,01/03/22,5.32
BHADRADRI,Gundala,Settupalli,80.347351,17.81182,01/03/22,9.96
BHADRADRI,Julurpad,P. Narsapuram,80.520318,17.438169,01/03/22,8.07
BHADRADRI,Julurpad,Papakollu,80.4828,17.4183,01/03/22,5.6
BHADRADRI,Karakagudem,karakagudem,80.50888,18.085377,01/03/22,3.17
BHADRADRI,Karakagudem,Karakagudem,80.568147,18.034655,01/03/22,5.3
BHADRADRI,Kothagudem,Kothagudem,80.62317,17.548245,01/03/22,22.08
BHADRADRI,Laxmidevipalli,Bangaruchelka,80.6,17.76,01/03/22,3.77
BHADRADRI,Laxmidevipalli,Laxmidevipalli,80.619,17.573,01/03/22,6.03
BHADRADRI,Manuguru,Manuguru,80.83008,17.955072,01/03/22,7.08
BHADRADRI,Manuguru,Pagideru,80.73,17.97,01/03/22,2.8
BHADRADRI,Mulakalapalle,Mulakalapalli (D),80.8319,17.5036,01/03/22,11.12
