district,mandal,village,lat,long,date,value
BHADRADRI,Sujathanagar,Sarvaram (Gudithanda),80.59,17.53,01/04/22,6.44
BHADRADRI,Sujathanagar,Sujathanagar,80.589,17.488,01/04/22,7.58
BHADRADRI,Tekulapalle,Bethampudi,80.45,17.56,01/04/22,8.73
BHADRADRI,Tekulapalle,Bodu,80.4436,17.6744,01/04/22,5.62
BHADRADRI,Tekulapalle,Mutyalampadu,80.5,17.54,01/04/22,7.62
BHADRADRI,Tekulapalle,Sulanagar,80.501917,17.543558,01/04/22,6.37
BHADRADRI,Yellandu,Komararam,80.32,17.71,01/04/22,8.38
BHADRADRI,Yellandu,Narayanapuram D,80.375,17.5125,01/04/22,7.77
BHADRADRI,Yellandu,NARAYANAPURAM S,80.38,17.51,01/04/22,7.77
BHADRADRI,Yellandu,Rompedu,80.3,17.65,01/04/22,6.03
BHADRADRI,Yellandu,Sudimalla,80.35,17.59,01/04/22,5.23
BHUPALPALLY,Bhupalpalle,Bhupalpally,79.876922,18.441128,01/04/22,6.24
BHUPALPALLY,Bhupalpalle,Gudadpally,79.8072,18.389256,01/04/22,6.11
BHUPALPALLY,Bhupalpalle,Nandigama,80.0572,18.4996,01/04/22,1.89
BHUPALPALLY,Chityal,Chityala,79.671932,18.337481,01/04/22,4.87
BHUPALPALLY,Chityal,Jadalpet,79.736111,18.383433,01/04/22,12.84
BHUPALPALLY,Ghanapur_Mulug,Chelpur(D),79.853503,18.368545,01/04/22,7.49
BHUPALPALLY,Ghanapur_Mulug,Chelpur(S),79.835062,18.375514,01/04/22,8.21
BHUPALPALLY,Ghanapur_Mulug,Velthurlapally,79.8885,18.3025,01/04/22,9.16
BHUPALPALLY,Kataram,Jadaraopet,79.883779,18.69579,01/04/22,15.31
BHUPALPALLY,Kataram,Medipally,79.923666,18.550111,01/04/22,23.01
BHUPALPALLY,Kataram,Regulagudem,79.868777,18.623722,01/04/22,32.41
BHUPALPALLY,Kataram,Shankarampally 125(D),79.8983,18.6022,01/04/22,18.69
BHUPALPALLY,Kataram,Shankarampally 47,79.89,18.61,01/04/22,19.23
BHUPALPALLY,Mutharam_Mahadevpur,Stambampally,79.9927,18.5639,01/04/22,2.43
BHUPALPALLY,Mutharam_Mahadevpur,Yatnaram,80.152333,18.573833,01/04/22,5.02
BHUPALPALLY,Mahadevpur,Ambatipalli,80.061858,18.695678,01/04/22,22.39
BHUPALPALLY,Mahadevpur,Annaram,79.843138,18.762444,01/04/22,21.62
BHUPALPALLY,Mahadevpur,Kaleswaram,79.905444,18.803055,01/04/22,13.24
BHUPALPALLY,Mahadevpur,Mahadevpur -125D,79.98,18.73,01/04/22,11.56
BHUPALPALLY,Mahadevpur,Mahadevpur 199D,79.98,18.73,01/04/22,14.29
BHUPALPALLY,Mahadevpur,Mahadevpur 75NC,79.9819,18.7206,01/04/22,11.87
BHUPALPALLY,Malharrao,Mallaram,79.785777,18.556805,01/04/22,6.27
BHUPALPALLY,Mogullapalle,Aknepally,79.6103,18.3631,01/04/22,9.02
BHUPALPALLY,Mogullapalle,Rangapur,79.6891,18.2716,01/04/22,7.21
BHUPALPALLY,Palmela,Kamanpally,80.245666,18.625166,01/04/22,3.76
